ids,names,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,monthly_listeners
1s6Vn4LprUVOK6AeTUQzas,the flower children,0,17," hip hop , rock ",2020,2020,1,1,2
0HGLguFelx1HIhkFO6mu5q,reality souljahs,6,1076,"dub reggae, uk dub",2011,2018,4,2,2807
4zCbNayYzorqdzd9mPrghW,acceptance,33,63467,"christian alternative rock, neon pop punk, pop emo",2003,2022,11,1,129149
59O4pHlANHYrHM5HGz6JbM,nuuro,6,2213,glitch pop,2006,2015,3,4,1113
2NU8miqUckLlC5JR6xNQUM,ilhalung,0,337,metal,2020,2022,3,1,41
45Jcn2e5CoqGQj5hyI7YBX,raef,34,25745,nasheed,2014,2024,20,1,128959
2sdWrNFCfoDHl4hBVVRu7b,delta cross band,10,1107,classic danish rock,1981,1995,3,10,4455
13VQNfvwId6eLurokNp402,favela,20,9126,puerto rican pop,2014,2024,7,1,28560
0nHGg797sccUrCQxMC8Gn5,jav3x,14,1645," dance , house , pop ",2015,2024,20,2,10223
44APJiQpJhK4CWuLC9gGrx,cubicore,32,3263,progressive trance,2020,2024,20,2,101089
1IaWqZjS4CM1ARHITaPcLe,aukan,0,122,rap,2020,2023,9,1,39
7cb0BxBtbvOtgWH3tS6MRJ,daffy el audio,30,13831,rap cristiano,2019,2024,20,1,16521
71uUKogYewJ3xCX2NkLwIc,ray larsen,0,118,jazz,2020,2021,3,1,38
2FfiPi1Ia6W1EWM1QcajDN,alpaca sports,5,3442,"gothenburg indie, twee pop",2012,2019,15,2,1162
3i3ntBQKUAXTxBj3yEVNsl,apvedceļš,25,3191,latvian pop,2002,2024,16,1,18415
5evxKull73cP7iadarMC99,fatnotronic,30,9307,brazilian boogie,2017,2024,4,3,109530
1UgusYuLhLfW6guYuTnL1F,plinio clabassi,10,275,"classical bass, italian bass",1996,2014,3,4,1998
2iVrXMVl1bKeETzwjUHVy4,sargon gabriel,24,3264,assyrian pop,1976,2011,20,8,9720
7eEmF3XdOdZZKBJcJViMmk,3-11 porter,32,8676,electro jazz,2005,2024,13,9,119999
7kcF7YiakE4CjtwtKd7WDi,oluyemi thomas,0,35,deep free jazz,2007,2011,4,9,8
4xDHz2TrM2fWhQ6FW6VZn0,josh roa,19,309,jazz,2017,2019,3,1,6979
7IREjzHRSFJI1oiGi1KxtO,akwasi marley,0,8,contemporary,2019,2019,1,10,0
0Dc66ONOO973YWYsx0aXbi,blaine sprouse,9,469,instrumental bluegrass,1989,2009,2,11,2983
5Sy9botB5kunkVD6lEjBRC,vintage vocal quartet,0,24,jazz,2015,2018,2,1,13
47aBSOa1QCUGfrtCRYQa5m,kotra,0,459,ukrainian experimental,2004,2022,15,1,205
1JGGawPzxXW8e6AM6agKNx,benjamin nicholas,14,108,choir,2011,2023,20,17,3338
1LAgDHjyZvOQf39Fa9rtlT,tenor saw,31,46276,"old school dancehall, reggae, roots reggae",1985,2023,11,6,127597
2XBUtMUh0ZOugBjAIyuNIx,louise steel,1,113," rock , romantic ",2015,2023,6,1,11
5MazUYO2ulxGOMPN5ZE00V,ben becker,31,1795,country,2016,2023,20,1,924
1Ijaqkb9uZiTaZIEAiKNsZ,anita gravine,0,28,jazz,1998,1998,1,13,9
1f8cf3tb31jDeT2Zj9Suts,psycatron,6,620,irish techno,2004,2017,13,2,2215
562jvqcbBaFzFM6tgShlEV,atari cowboy,0,51,swedish synthpop,2011,2013,5,5,10
2wVCP4V6swQTH7hy4Bc3eC,samantha togni,5,1260,techno rave,2022,2024,20,1,931
0ezhX8xDI6ViKNwRXPxbyN,slugos,13,1917,"deep hardtechno, schranz",2010,2024,15,4,7021
3pSiG2bepHMFdILZxgRZ1k,leo mccaffrey,2,207,"irish ballad, irish pub song",1971,2014,4,12,377
6z3XOoH3Zy3DH1aFu0542k,don thomas,13,340,classical,2000,2017,8,13,1380
1xS9wRaWvtlxsmERNuNJF2,the pipettes,18,15470,"brighton indie, candy pop",2006,2011,7,5,16443
1NdNYFv81pamXPwW6t9n6z,paul wirkus,0,134,"glitch, polish experimental electronic",2005,2011,5,8,108
1tU6YgFvedzAcs75jbrfGS,los alegres del valle,15,1560,cumbia,2000,2021,10,1,17929
1zG558PRWxk9JqCjzd0TCY,buffalo bill,25,1324,greek underground rap,2007,2024,13,5,29444
1ZpXxNcGgPest2Rfj6URRo,bye sami,17,16137,mexican pop punk,2002,2023,8,5,12193
2jvnRRcqUcbBaIFTUajl9V,till fellner,12,934,"austrian classical piano, classical piano",1994,2018,8,1,4041
6ik0Hg6hJaCbhOB9cYJ014,brooklyn allstars,6,3823,contemporary gospel,1965,2013,15,2,741
4J8pjytuR06BizCeBKBIDk,the doppelgangaz,35,26785,instrumental hip hop,2015,2024,20,16,106873
47CQu7UtSZRR5fYXVCBVuh,jaedyn randell,20,927,"waiata maori, waiata mo tamariki",2021,2021,1,1,20260
1ZblyonqihzmKOWPccZ3z4,world drummers ensemble,0,118,african percussion,2006,2006,1,8,6
6Sstmp3kvsLFrkrgJ77HG9,tralala,28,3321,muzica copii,2018,2021,2,1,10181
7EpkoQDS4d5sF5B1K3lQRa,python,10,1544,dark progressive house,2020,2024,20,4,2427
7cGE7HMJNzk5dPf6otkyjm,fanta damba,2,1317,"griot, kora",1975,2017,8,6,280
76ftqv1cm1EkrgWiC1pUUV,cimo fränkel,33,6584,dutch pop,2019,2023,20,1,124728
2vNhor4l4ROmDGxhW7j1Fh,super extra bonus party,0,617,soul,2017,2023,7,1,164
5HePAITZSCxQ0H9PEKZ5DH,chezidek,40,67130,"modern reggae, reggae, roots reggae",2002,2024,20,1,352762
7rlAAAiWScpsT1hmgURAmh,spellling,30,67337,"art pop, escape room, oakland indie",2017,2023,12,2,55885
4rbU0Ok6ftGOQH4IYdaVHf,gunning for tamar,0,210,oxford indie,2011,2013,4,5,63
1Kpz4HxilmXzCt2eLpGgID,the virginmarys,24,19302,"garage rock revival, modern alternative rock",2012,2023,12,9,29333
2fbaKuRal5nMa3oynMuQzG,mercury falling,0,181,german power metal,2012,2016,2,11,42
6856UckKN0QtxGIbHXOIZc,yamato ensemble,22,6958,"chinese traditional, japanese traditional, shakuhachi",1993,2020,9,5,26822
4MmsZ9IeyHH9uG0VVOrwnZ,the nrg,4,145,modern,2021,2024,4,3,376
6wrYC5hwgNYA2npX4kixgx,ludwig sebus,24,775,"karneval, kolsche karneval",1969,2023,10,2,30002
2ickO4SwvjX9SaBBXRBl6w,dzieciuki,14,3564,belarusian punk,2012,2023,4,3,3468
1NwCjyvGISRxIaCG8vKTg3,özer özel,12,5496,turkish classical,2018,2018,1,12,4526
2C1VA5707WjrJ6ojaOGX8J,hubinek & sperbel,0,139," dance , house ",2017,2024,16,2,150
5vAEXA6XY51Yc7YGkzqdPA,tori freestone trio,0,92,uk contemporary jazz,2023,2023,1,9,2
7oKVYDiVZxglvgEW2zHcAD,the brothers comatose,40,54304,"bay area indie, new americana, progressive bluegrass, western americana",2010,2023,20,1,315206
0hSiXocCzXOFCyYC0LJHC8,papillion,2,121,traditional,1998,1998,1,26,158
739a9VeGbv0lMBRIkRInJT,dave walker,0,142," blues , blues , latin ",2007,2020,9,2,47
0abIHznUj0oKhDB29cpBZ9,go radio,35,133738,"neon pop punk, pop emo, pop punk",2010,2022,7,2,195656
58HWl0aH0VFAKnxfiZdVzO,diogo strausz,28,4063,nova mpb,2015,2024,20,1,81587
1Rb3WgE1S9FLVEBNdAiAJE,the very big experimental toubifri orchestra,10,837,experimental big band,2014,2024,10,1,3172
2FIUYSjXviQAK7dVWIVDfj,leo perez,6,588," dance , house , tech ",2013,2024,20,3,2218
1CnuIF3GqFkveZeBDnhd8J,bordertown devils,0,83," rock , punk ",2016,2016,1,6,8
47nyfQJpSHM8ezSh6QATyU,cefa,20,13253,"brazilian post-hardcore, brazilian rock",2015,2023,20,1,8564
7IURtrIM8SBTlCI9qrAuUQ,linval thompson,45,47763,"dub, reggae, rocksteady, roots reggae, uk dub",2012,2023,20,22,899564
3tr2OiPwzA8Oj3jXuqv0kH,dan aciné,0,37,modern,2020,2023,7,2,3
6ex3zdLBHsbn07VkD3Nnq3,jenny beaujean,9,2983,jazz mexicano,2016,2022,7,1,2015
61EZ0XKylTHjhGx5JqlQXG,kevin over,15,3609," dance , house ",2012,2020,20,4,15173
362GV7hdgLf9AHDE9l0zyn,ronald brautigam,22,3952,"classical piano, dutch classical piano, historical keyboard",2014,2024,20,6,17525
4g4pQkFEpTyfuAEDbVbbUe,semmangudi srinivasa iyer,12,24498,"carnatic, carnatic vocal, indian classical",1941,2015,9,4,9904
1xoFENF5cZyTSvcxNL4Ur0,dj /rupture,4,2234,industrial hip hop,2003,2005,2,15,528
4FKaijXvErfq0vkTNlYjRW,the mellows,18,2848,rock,2003,2024,13,2,15333
2RF1pwxVSPHMVoOpSiscAE,fort smith symphony,20,339,american orchestra,2005,2023,6,1,17906
4iEDFNc94yLXZeVnqYXH0Q,maintenance crew,1,188,lao hip hop,2006,2017,5,24,107
